,CorporateIdentityNumber,NameOfTheCompany,Sector,NetWorth_DCYMain,SpecificCommitmentsGoalsAndTargetsSetByTheEntityWithDefinedTimelinesExplanatoryTextBlock,PerformanceOfTheEntityAgainstTheSpecificCommitmentsGoalsAndTargetsAlongWithReasonsInCaseTheSameAreNotMetExplanatoryTextBlock,StatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsExplanatoryTextBlock,DetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyExplanatoryTextBlock
589,L24200MH1947PLC006104,Novartis India Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,7756600000.0,Novartis India follows guidance received from Novartis AG on ESG principles.,Performance against goals is provided in this report under respective principles.,"Novartis India is committed to improve and extend people’s lives. We are enabling a culture to find efficient ways of increasing access to our medicines, to help patients. We operate with the highest values, integrity and quality standards. Novartis India Limited is aligned to our parent company, Novartis AG’s Global Sustainability commitments for 2025.

From ESG perspective, some of our initiatives at our offices include installation of Energy Efficient Lighting System consisting of LED Lighting reducing the energy consumption up to 90%, occupancy and motion-based sensor LEDs at all workstations and meeting rooms, for reduction of energy consumption when not in use and designing the office space such that it maximizes the use of natural light.  

Similarly, a comprehensive Standard Operating Procedure (SOP) has been developed outlining procedures for the retrieval and safe disposal of expired/defected products. As per government protocol and at government approved waste disposal management facilities products are disposed/ incinerated.

All our people and culture centric initiatives are also in line with our global policies, tailored as per local laws that take precedence.

We are also extending this to our external service providers and spearheading the implementation of ESG practices for third-party partners. All new contracts and amendments will mandatorily include the Environment Sustainability criteria as an annexure.","DIN: 09775615
Name: Shilpa Shashank Joshi
Designation: Whole-Time Director and CFO"
590,L45400MH2012PLC234318,CAPACIT''E INFRAPROJECTS LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,10735608144.0,Developing robust framework around data privacy.,"The entity is currently in the process of finalizing its performance evaluation against the specific commitments, goals, and targets outlined in the project.","Mr. Rohit Katyal, Chairman and Whole Time Director

The Company is committed to sustainable and responsible business practices. 

As a leading infrastructure company, we recognize the importance of minimizing our environmental impact and contributing positively to society. Our focus areas include:
• Environmental stewardship: Implementing energy-efficient practices, waste management initiatives, and resource conservation measures.
• Social responsibility: Prioritizing employee safety and well-being, supporting local communities, and fostering diversity and inclusion.
• Governance: Adhering to high ethical standards, promoting transparency, and ensuring accountability throughout the organization.
We are continuously working towards improving our ESG performance and are committed to providing detailed information in future reports as data becomes available.","Name: Mr. Rohit Katyal 
Designation: Whole Time Director
DIN: 00252944
Telephone: 22-71733717
Email ID: cs@capacite.in"
591,L34103DL1981PLC011375,Maruti Suzuki India Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,839819439235.52,"The Company has set internal targets against the principles such as its commitment to expand its renewable energy capacity to 78.2 MWp by FY 2025-26, the elimination of Ozone Depleting Substances at its facilities by 2025 etc. The Company is also committed to support India’s ambition of Net Zero by 2070. For safety of its employees, the Company aims for ‘Zero Incident’.","The Company periodically reviews performance against its internal targets and implements corrective actions wherever required. During the year, the Company achieved an installed solar capacity of 43.2 MWp.","I am pleased to present MSIL’s performance on the Environmental, Social, and Governance (ESG) practices as detailed in the Business Responsibility and Sustainability Report for FY 2023-24.
MISL looks forward to working along with its stakeholders in its growth journey towards achieving 4 million production capacity milestone by the year 2030-31. In this journey, the Company is aware of its responsibilities towards the environment and society.
As a responsible Corporate, Maruti Suzuki is formulating its strategies to align with Government of India’s road map of Net Zero besides strengthening social performance and governance structure.
Maruti Suzuki is exploring multiple options to minimise carbon emissions emanating from its business operations, value chain and use of products.
The Company believes that collaboration and cooperation among various stakeholders is needed to find implementable and financially viable alternatives to existing sources of emissions.
The Company is undertaking projects to replace hydrocarbon-based process fuels. At Manesar plant, a food waste and Napier grass-based biogas plant has been set up with a capacity of 0.2 tons of biogas daily.
At the manufacturing locations and R&D Centre, the Company has set up captive solar plants to increase share of renewable energy in the overall energy consumption besides continued focus on energy efficiency initiatives. These initiatives will help reduce the Company’s Scope 1 & 2 emissions.
In automobile manufacturing, over 90% of emissions are generated outside the OEM plant boundaries, mainly during value chain operations and use of products. The Company is undertaking projects to promote material circularity in partnership with suppliers. Expansion of ELV scrapping facilities and material circularity will be the focus areas for the Company going forward.
On the products front, the Company is offering multiple fuel options and technologies including petrol, CNG, and hybrid (mild and strong) besides preparing for the launch of its first electric vehicle.
The Company is undertaking concerted efforts to promote gender diversity, safety, human rights and grievance redressal at the workplace. The CSR initiatives in the areas of skill development, road safety and village development are being expanded to benefit larger sections of society.
 
Thank You!
 K. Toyofuku
 Executive Director","Mr. Hisashi Takeuchi, Managing Director and CEO (DIN: 07806180)"
592,L23201MH1959GOI011388,Indian Oil Corporation Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,1767150000000.0,The Company aims to ensure 100% on-spec delivery o or all of its products.,"The Company has set several goals in line with NGRBC principles, the Government of India’s targets, and UN Sustainable Development Goals (UN-SDGs). The Company regularly monitors its performance against key ESG parameters, details of which are available in BRSR’s disclosures and Company’s sustainability report. The BRSR may be read in conjunction with the company’s sustainability report and is available on Company’s Sustainability webpage (https://iocl.com/sustainability).","I am happy to present to you the latest edition of IndianOil’s Business Responsibility and Sustainability Report (BRSR), which is prepared in accordance with SEBI guidelines. 
BRSR reflects our efforts and progress towards a sustainable future, marked by significant milestones and a deep sense of responsibility to our Nation and its people. As an early adopter of ESG reporting in India, IndianOil consistently endeavours to enhance its disclosures aligned with international and national standards. As a leading public sector enterprise tasked with ensuring nation’s energy security, we are deeply committed to the highest standards of transparency, integrity & accountability, uphold corporate governance principles and maintain ethical and responsible business practices across all our operations.
At IndianOil, sustainability is not just a goal, it is our guiding principle. Driven by our core corporate values of Nation-First, Care, Passion, Innovation, and Trust, we are committed to creating value for our stakeholders while actively striving to achieve Net Zero operational emissions by the year 2046. We are taking significant steps to actively transition to a green energy major by expanding our portfolio through energy pathways such as biofuels, renewables, and green hydrogen. This includes developing a 10-kilotonnes per annum green hydrogen plant at our Panipat Refinery, setting up 30 Compressed Biogas (CBG) plants, and launching India''s first green hydrogen fuel cell buses. 
To decarbonise air travel in India, we are leading the efforts to establish a first-of-its-kind Sustainable Aviation Fuel (SAF) producer facility at Panipat designed to produce 86.8 thousand Metric Tonnes Per Annum (TMTPA) of SAF. Towards diversifying our energy portfolio as well as reducing our emission footprint, we aim to invest INR 5,215 crore to create one gigawatt of renewable energy capacity across the country in near future. 
At IndianOil, we are leveraging technology and innovation to power sustainability across the value chain. Cycloplast, our new brand of high-quality plastic recyclates, expands the portfolio of our sustainability initiatives and boosts plastic neutrality. We have patented the INDEcoP2F technology, which converts single-use waste plastic to fuels such as LPG, gasoline, and middle distillates. IndianOil is diligently focusing on providing its customers with sustainable energy products through our green product portfolio consisting of SERVO Greenmile, lube, and auto fuels such as XtraGreen, E100, XP95, XP100, etc. that aim to significantly reduce emissions and support sustainable economic growth. 
We believe profitability and environmental as well as social responsibility are intertwined. Our commitment to environment is evident in our efforts to transform three of our townships into Zero-Waste Townships, establishing first-of-its-kind Sewage Treatment Plant (STP) at Lakshmi Nagar, Mathura, to increase the use of treated wastewater. We are also steadfast in our commitment to empower communities through our corporate social responsibility. IndianOil’s CSR projects are focused on thrust areas of drinking water, healthcare, sanitation, education, skill development, rural development, environment protection and empowerment of women with an aim to promote inclusive growth and equitable development of the marginalised sections of society. We are also proud of our initiatives that are bringing about positive transformation in the lives of prison inmates and juveniles through Parivartan and Nayi Dishayen projects that have been successful in instilling discipline, teamwork and perseverance in the beneficiaries and giving them a sense of purpose through sports.
Wildlife conservation through restoration and protection of natural ecosystems is a cause that we feel passionately about. We are finance partners for Project Cheetah, an ambitious initiative in collaboration with the National Tiger Conservation Authority (NTCA) to reintroduce cheetahs to India. As the first corporate entity to support this cause, IndianOil has played a crucial role in bringing cheetahs to the Kuno National Park in Madhya Pradesh. This significant conservation effort was marked by the ceremonial release of the cheetahs by Hon’ble Prime Minister Narendra Modi.
As we embark on this transformative journey of sustainable development of our nation, IndianOil reaffirms its commitment to making a positive impact on the lives of a billion-plus Indians. We believe that sustainability is a collective responsibility, and we invite your feedback and suggestions to co-create a better future for all.
You can write to us at sustainability@indianoil.in

At IndianOil, we are leveraging technology and innovation to power sustainability across the value chain. Cycloplast, our new brand of high-quality plastic recyclates, expands the portfolio of our sustainability initiatives and boosts plastic neutrality. We have patented the INDEcoP2F technology, which converts single-use waste plastic to fuels such as LPG, gasoline, and middle distillates. IndianOil is diligently focusing on providing its customers with sustainable energy products through our green product portfolio consisting of SERVO Greenmile, lube, and auto fuels such as XtraGreen, E100, XP95, XP100, etc. that aim to significantly reduce emissions and support sustainable economic growth.
We believe profitability and environmental & social responsibility are intertwined. Our commitment to environment is evident in our efforts to transform three of our townships into Zero-Waste Townships, establish first-of-its-kind Sewage Treatment Plant (STP) at Lakshmi Nagar, Mathura, and increase the use of treated wastewater. We are also steadfast in our commitment to empower communities through our corporate social responsibility. IndianOil’s CSR projects are focused on thrust areas of drinking water, healthcare, sanitation, education, skill development, rural development, environment protection and empowerment of women with an aim to promote inclusive growth and equitable development of the marginalised sections of society. We are also proud of our initiatives that are bringing about positive transformation in the lives of prison inmates and juveniles through Parivartan and Nayi Dishayen projects that have been successful in instilling discipline, teamwork and perseverance in the beneficiaries and giving them a sense of purpose through sports.
Wildlife conservation through restoration and protection of natural ecosystems is a cause that we feel passionately about. We are finance partners for Project Cheetah, an ambitious initiative in collaboration with the National Tiger Conservation Authority (NTCA) to reintroduce cheetahs to India. As the first corporate entity to support this cause, IndianOil has played a crucial role in bringing cheetahs to the Kuno National Park in Madhya Pradesh. This significant conservation effort was marked by the ceremonial release of the cheetahs by Hon’ble Prime Minister Narendra Modi.
As we embark on this transformative journey of sustainable development of our nation, IndianOil reaffirms its commitment to making a positive impact on the lives of a billion-plus Indians. We believe that sustainability is a collective responsibility, and we invite your feedback and suggestions to co-create a better future for all.","The Board, Board-Committee, Chairman, Functional Directors, and Senior management personnel are responsible for implementation and oversight on Business Responsibility related policies."
593,L51909MH2004PLC145007,Sharda Cropchem Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,21118242628.0,Yes,,"Sharda Cropchem’s commitment to Environmental, Social, and Governance (ESG) principles shapes every aspect of its operations. The Company is dedicated to ethical business practices that benefit the community and its
workforce, while also prioritising clean, safe, and equitable working conditions for employees and business partners. In addition to this commitment, Sharda Cropchem proudly offers affordable, high-quality products on a global scale.","Mr Ramprakash V. Bubna
Chairman & Managing Director
DIN: 00136568"
594,L51900MH1997PLC108798,Shoppers Stop Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3239456601.0,Yes,Yes,"We are excited to present our annual Business Responsibility and Sustainability Report (BRSR) for the Financial Year 2023-24. This report provides our stakeholders with comprehensive insights into our ESG initiatives and sustainability performance. We are committed to fostering a culture of integrity, sustainability, and ethical practices. Our focus is to enhance stakeholder value while ensuring our operations positively impact the communities we serve and the environment. Sustainability and inclusivity are fundamental to our core values. We strongly believe that sustainability and profitability are mutually reinforcing, and that our commitment to sustainability will drive our growth. Together, we strive to set new standards in corporate responsibility and lead by example in every aspect of our business.

In fulfilling its responsibility as a brand owner to reuse and recycle plastic, our Company partnered with a CPCB Registered Plastic Waste Processor. This initiative led to the collection and recycling of plastic in compliance with the EPR guidelines of the Plastic Waste Management Rules, 2016.
During the year, the Company successfully implemented IoT solutions in 27 stores to reduce electricity costs, taking the number of stores to which IOT Solution is implemented to 87 stores. Further it aims to extend this initiative to the remaining stores and the service office.
The Company also advanced its commitment to sustainability by procuring sustainable, biodegradable, and recyclable fabrics for its private brands. This includes materials like Liva-eco Viscose, Linen, and Recycled Polyester, resulting in emissions reduction and conserving water during fabric production. 
For the Financial Year 2023-24, the Company aims to further increase the use of sustainable fabrics in its private labels. Additionally, the Company has identified key areas to establish and develop its ESG goals and strategies.

Name of Director responsible for the Business Responsibility and Sustainability Report: Kavindra Mishra, Managing Director & CEO

Highlights of ESG related challenges:
The Company, a responsible corporate entity, prioritises ethical, sustainable operations, exceeding societal and governmental expectations while minimising carbon footprint and upholding stakeholder interests. Though lacking manufacturing plants, efforts focus on positive environmental impact. Highlights include energy conservation through IoT solutions, reducing CO2 emissions by 384 tonnes. Additionally, sustainable fabric usage and CNG/Electric vehicles for logistics underscore the commitment to sustainability.","Kavindra Mishra, as Managing Director & CEO, holds responsibility for implementing and overseeing the Business Responsibility policy (or policies). The Management/Board of Directors and its Committees will periodically evaluate the performance of Business Responsibility."
595,L46102DL1985PLC426661,SG MART LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,10870912107.49,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Team focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1.	Setting up of an efficient supply chain;
2.	Insurance coverage to minimize potential losses;
3.	Separate teams have been formed across the organization to focus on likely risks and mitigation plan.
4.	Hiring of talent personnel in the organization and retention of the same.",Performance of each of the principles is reviewed periodically by Risk Management Team.,"The Company is committed to conducting beneficial, fair business practices to all stakeholders including the community at large. We provide employees and business associates with working conditions that are clean, safe, healthy and fair. We are committed to transparently sharing our progress, challenges, and successes as we strive to create lasting value for our stakeholders while leaving a positive impact on society and the environment.","At the highest level, the Board of Directors of your Company is responsible for implementation and oversight of the Business Responsibility policy."
596,L74101UP2021PLC156659,Redtape Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,6321700000.0,"The Company is working towards various goals and objectives, including embedding sustainability into all its operations to contribute towards a healthier planet. In this regards Company is continuing it’s efforts for more plantation at it’s premises and out of premises, initiated it’s for  adoption of  Historical monuments under Adopt Heritage scheme of  Archeological Survey of India (ASI), skilling youth of India by availing National Apprentice Promotion Scheme (NAPS) .
 
The Board’s Report, which forms part of this Annual Report, contains further information in this regard.","As part of the roadmap to achieve the goals and objectives, the Company has laid down activities which will aid in progress and ultimately achieving the commitment.
The Board’s Report, which forms part of this Annual Report, contains further information in this regard.","The Company believes that sustainability goals are part and parcel of its financial goals, and the Company has, accordingly, already integrated ESG considerations into its business decisions and operations. The Company has set up  solar power plants, not only doing massive plantation drive but also maintain and caring for the plants at regular intervals. The Company believes in the spirit of giving back to society. One of the key features of CSR projects undertaken by the Company is to focus on our stakeholders based on participatory and collaborative approach to empower the communities and protect the environment around. 

  In addition, the Company’s Secretarial team monitors ESG-related factors in the Company on issues such as managerial remuneration, dividend distribution policy, code of conduct and other policies , Related Party Transactions, amongst others.","The Board of Directors of the Company, assisted by Risk Management &  CSR Committee, is the highest authority, responsible for implementation and oversight of the Business Responsibility policies. The Board ensures that the Company has a clear vision, mission and goals to fulfil and exceed the expectations of its stakeholders and create stakeholders’ value in a sustainable and prosperous manner.
The CSR Committee is designated to take decisions on ESG / Sustainability related matters. The Committee also oversees the preparation, implementation and reporting of ESG, Sustainability and Conducting Business in a responsible manner."
597,L52399GJ2016PLC085595,Arvind Fashions Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,11924160748.0,Arvind Fashions has carried out materiality assessment to arrive at their key material aspects relevant to their business. Future goals and targets on the key material aspects will be set and performance will be monitored.,,"As a sector serving the fashion industry, keeping up with the pace, the change and the upgrades defines our commitments towards the ever-changing fast fashion. Today''s fashion industry is a vibrant and complex realm, embodying a fusion of cultural movements, technological progress, and international impacts. We explore new innovations while keeping the 360-degree approach of ESG in conjunction with our products. The ESG aspects are an integral part of the company’s core principles. With ESG evolving across industries and dovetailing in business essentials, we look ahead to expand more in our scope towards ESG, starting from our products, operations and to all our stakeholders.

The fashion industry is known for its significant environmental footprint and social impact, which has led to an increased focus on ESG factors within the industry. ESG for us is not limited to our operations but is extended to our entire value chain with practices such as responsible procurement and social value creation through development of our people and communities. Our products assist our customers to realize responsible utilization and consumption, with added value of sustainable integration into their day-to-day activities. Our commitment towards a sustainable environment is reflected through our practices and implementation of responsible usage of products, contribution to the society, all through a strong and robust governance function.

We envisage to position sustainability at core of our business agenda by both creating enriched consumer experience and delivering long-term value. We shall enhance our sustainability performance by focusing end-to-end value chain starting from design to distribution. As part of this journey, we shall adopt a pragmatic approach focusing on key themes such as decarbonization, sustainable products and packaging, and building inclusive and progressive workspaces and communities. On this path, we will take a practical stance, centering our efforts on crucial areas like reducing carbon emissions, developing eco-friendly products and packaging, and fostering diverse and forward-thinking work environments and communities.","Name: Mr. Shailesh Chaturvedi
DIN: 03023079
Designation: Managing Director & CEO"
598,L74210TG1995PLC130199,KNR Constructions Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,32256590691.0,"Since the ESG reporting is at the initial stage, commitments and targets will be set out and performance of the same will be evaluated in due course of time.",,"Dear Stakeholders,
As the director responsible for the Business Responsibility Report, I am pleased to present an overview of our ESG initiatives to our esteemed shareholders. Our commitment to Environmental, Social, and Governance (ESG) principles forms the foundation of our business philosophy.

Environment: We have implemented effective exhaust mechanisms for machinery and vehicles, with regular checks to ensure optimal performance. Sprinklers on conveyors help reduce air emissions from aggregate crushers, supported by consistent emissions monitoring. Our electricity consumption is managed through captive sources like generators. We optimize waste materials from structures and pavements, using them in diversion roads and construction layers. Our focus on waste reduction, reusing, and efficient water use underscores our commitment to environmental sustainability.
Social: Our social initiatives include identifying and training individuals for project deployment, fostering career progression opportunities, and maintaining high employee retention through supportive policies and welfare activities. Our mentoring programs contribute to staff retention and consistent performance.
Governance: Governance is a cornerstone of our operations. Frequent Board meetings ensure accountability, transparency, ethical decision-making, and adherence to business ethics. Internal audits reinforce our commitment to sound governance practices, enhancing shareholder and investor confidence.

In conclusion, our ESG initiatives encompass environmental sustainability, social empowerment, and robust governance practices. We are dedicated to addressing challenges, meeting targets, and fostering responsible growth, guided by our commitment to creating lasting value for all stakeholders. We appreciate your ongoing support and confidence in our organization. Together, we are poised to build a brighter and more sustainable future.

Sincerely, 
K Jalandhar Reddy Executive Director","Shri K Jalandhar Reddy, Executive Director"
599,L52100MH2015PLC265526,RAJNISH WELLNESS LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,14456401.0,The commitments and goals wherever required are set by the Company and have been mentioned in Annual Report wherever applicable,N.A,"In keeping with Company’s commitment to reducing the environmental impact of business, the Company has implemented a rigorous risk assessment as part of Business Risk Management framework. The procedure entails a thorough examination of all of our processes, raw materials, products, and services, as well as identifying and quantifying the importance of Environmental Aspects and Associated Impacts.
The Board of the Company reviews the matters related to ESG and business responsibility activities from time to time. The Company continues to focus on increasing the recyclable content in plastics and waste water.","Mr. Rajnish Kumar Singh, Managing Director"
600,L51100MH2016PLC284727,Flair Writing Industries Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,8891706769.0,"We are complying with all the applicable laws and regulations.
In addition to this, we are in the process of developing a roadmap
towards becoming a more sustainable organisation.",,Refer to the Managing Director’s Message on page no. 26-27 of the annual report.,"Mr. Vimalchand Jugraj Rathod, Managing Director (DIN: 00123007)"
601,L17120MH1879PLC000037,The Bombay Dyeing and Manufacturing Company Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,14581700000.0,"In its ESG endeavours, Bombay Dyeing aims to establish short, medium, and long-term goals for sustainability key performance indicators (KPIs) concerning climate change, energy efficiency, water conservation, waste management, air emission reduction, greenhouse gas (GHG) reduction, and safeguarding biodiversity.","In its ESG endeavours, Bombay Dyeing aims to establish short, medium, and long-term goals for sustainability key performance indicators (KPIs) concerning climate change, energy efficiency, water conservation, waste management, air emission reduction, greenhouse gas (GHG) reduction, and safeguarding biodiversity.","The transition towards a more sustainable lifestyle is not only influencing emerging trends in consumer industries but also in sectors like real estate. Presently, the diverse range of products that incorporate innovation compels manufacturers to consistently enhance quality and provide products with reduced carbon footprints. Bombay Dyeing is actively participating in both of these trends. Furthermore, the company is significantly intensifying its commitment to sustainability by managing emissions, optimizing resource usage, enhancing operational efficiency, adopting energy-efficient practices, and emphasizing a multifaceted digital approach, all contributing to the enhancement of current practices.","The diverse experience and expertise of the Board of Directors play a crucial role in offering strategic guidance and assessing the overall performance of the organization in terms of ESG considerations. The current corporate structure of the Board, along with its committees, collectively safeguards the long-term interests of stakeholders and promotes responsible business practices."
602,L24240MH1952PLC008951,Trent Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,44471836975.98,"Sustainability goals / targets are identified up to 2027. Action plans are tracked for deployment. 
For more details, refer Annexure II",Refer Annexure II,"The Company’s financial performance and growth initiatives in FY 2023-24 underscores our commitment and conviction in pursuing the business opportunities that we are seeking to address. We remain steadfast in our dedication to building resilience, ensuring that our growth ambitions do not come at the expense of our commitments to our people and planet agenda.  Our Sustainability agenda, anchored by the three pillars of: Be Resource Efficient, Be Responsible by Design, and Be People Conscious, serve as a guiding force for our choices. 

Resource efficiency is central to our sustainability efforts. Our focus on energy efficiency is evident in our investments in renewable energy and energy-efficient practices across our stores. Sustainable logistics is also a key priority, with ongoing efforts to minimize emissions associated with every garment shipped to customers. We embrace circular waste management practices, advocating for reduced consumption of materials, and promoting recycling and reuse within our operations. 

Advancing product stewardship, we incorporate responsible material in Trent’s apparel that focuses on Responsible by Design pillar. We comply with the Sedex Member Ethical Trade Audit (SMETA) requirements for sustainable operations and supply chains and are a member of the Better Cotton Initiative (BCI), actively supporting sustainable cotton farming/production methods. Our Vendor Code Conduct that provides framework for ethical and responsible business practises by the value chain partners was implemented during the year. 

Our social efforts are guided by the Be People Conscious pillar. The well-being, professional growth, and safety of our workforce take precedence above all else. As advocates for equal opportunities, we uphold fair and equitable hiring procedures. Furthermore, we are dedicated to implementing certified health and safety protocols, to foster a safe workplace environment. 

The Company continues its CSR initiatives in education, employability, and entrepreneurship with our employees actively participating in volunteering programs to improve the lives of underserved communities.",Executive Director and Chief Executive Officer
603,L24219GJ1969PLC001588,UNIPHOS ENTERPRISES LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,2629252484.0,,,Refer to Director’s Message at the beginning of this Business Responsibility and Sustainability Report.,"Mr. Rajnikant Devidas Shroff, Managing Director of the Company
DIN: 00180810"
604,L19200MH1977PLC019449,Metro Brands Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,18351100000.0,"The Company has identified key ESG (Environmental, Social, and Governance) areas, established internal targets, and is actively working towards achieving these goals, demonstrating the commitment to sustainability and ethical practices. The Company is transitioning to renewable energy sources by installing solar projects of 110 KW and 130 KW at two warehouses, respectively. To address the significant environmental challenges posed by the footwear industry, the Company processes old, discarded footwear and repurpose worn-out components as coal substitutes in cement kilns and power generation, thereby reducing both costs and emissions. The Company has started calculating its supply chain carbon footprint to address the adverse impacts of the supply chain processes.","The Company has made progress in the following areas in FY 2023-24:

1. Approximately 2.54 lac units were generated through solar projects in the Warehouses.

2. Approximately 1941.00 tonnes of old, discarded footwear have been recycled, repurposed and co-processed in an eco-friendly manner.

3. More than 29.34% value chain partners by business value and 41.58% by count have been approached to be assessed for collecting data on ESG parameters to monitor and improve the scope 3 emissions and improve the Environmental and Social conditions of the supply chain.","The Company believes that sustainability goals are part and parcel of its financial goals, and the Company has, accordingly, started integrating ESG considerations into its business decisions and operations. The Company has set up two solar power plants, ensures recycling of E-waste and has also started processing of old, discarded footwear in an eco-friendly manner. The Company believes in the spirit of giving back to society. One of the key features of CSR projects undertaken by the Company is to focus on its stakeholders based on participatory and collaborative approach to empower the communities and protect the environment around. In addition, the Company’s Secretarial team monitors ESG-related factors in the Company on issues such as managerial remuneration, dividend distribution policies, related party transactions, amongst others.","(a) Name: Mohammed Iqbal Hasanally Dossani (DIN 08908594)

Designation: Whole-Time Director

(b) Name: Aziz Fidai Designation: DGM - CSR & Process Assurance

Telephone number: +91 22 6656 0444

E-mail id: aziz.fidai@metrobrands.com"
605,L24231TN1958PLC003647,TTK Healthcare Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,9770551742.0,"The Company is committed to sustainability including protecting the environment and social aspects while conducting its business operations. Periodical review meetings on these aspects are being conducted in order to foster a culture of doing business in the interests of environment, society and all other stakeholders. The Company is also working on several energy efficiency, resource conservation, and waste reduction projects.",The performance on the ESG aspects are being monitored and met as per various standards and Company objectives.,"The Company believes in sustainability as a basic tenet with efficient and profitable operations. The Company also seeks to ensure the satisfaction of all its stakeholders. Besides focusing on the holistic well-being of its employees through various Health and Safety initiatives in all its plants and providing continuous learning and development opportunities within the organization, the Company also places great importance on the development of communities around its manufacturing units. The Company is also committed to resource
efficiency and minimizing the environmental footprint. Targets are set on many ESG aspects as a part of annual business plan, achieved and enhanced every year.",Board of Directors of the Company
606,L35920MH1942PLC003554,Supreme Industries Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,44985047107.0,Zero data privacy breach of customer,No data privacy breach cases of customer reported during FY24,"As the Managing director of Supreme, I am proud to present our latest Business Responsibility Sustainability Report, a testament to our unwavering commitment to ESG principles and our readiness to combat climate change. At Supreme, sustainability is not just a buzzword; it''s the cornerstone of our business ethos. We understand that true success lies in balancing economic prosperity with environmental and social responsibility. In FY24, we have gone the extra mile to disclose the BRSR core parameters, showcasing our commitment to comprehensive reporting. We have committed to a Net Zero – Science Based Target Initiative (SBTi) and are about to finalize our strategy. In line with our long-term commitment to sustainability, we are actively procuring renewable energy. Our progress is evident, with 538 Lacs kWh of energy consumed through renewable sources. This not only reduces our carbon footprint but also contributes to a more sustainable energy ecosystem. As part of our environmental stewardship, we are working to reduce our emissions and water intensity. 

We have prioritized initiatives like training our employees and workers on NGRBC principles, ensuring that sustainability is ingrained in our organizational culture. In this edition of our report, we have delved deep into all ESG parameters, reflecting our dedication to transparency and accountability. Being in the manufacturing of plastic business, we understand the criticality of conducting Product Life Cycle Assessments (LCA). We have completed LCAs for our piping products contributing a significant proportion to our overall revenue and are committed to analysing the rest of our offerings. This enables us to identify areas for improvement and make informed decisions to minimize our environmental footprint. Recognizing the importance of collaboration in achieving sustainability goals, we have plans to extend ESG training to our value chain partners. By empowering them with knowledge and tools, we aim to create a ripple effect of positive change throughout our supply chain. I''m pleased to report that we achieved zero fatalities during the reporting period, underscoring our commitment to protecting our employees and communities. We have meticulously examined 100% of our sites to ensure compliance with safety standards. 

Our commitment to social responsibility extends beyond our organization. Through Supreme Foundation''s CSR activities, we have rolled out community development initiatives, enriching the lives of those around us. Supplier sustainability is also a priority, and we are developing plans to ensure that our entire supply chain aligns with our sustainability goals. 

At Supreme, sustainability is not just a goal; it''s our way of doing business. We remain committed to driving positive change, both within our organization and in the broader community. Together, we can build a more sustainable future for generations to come.","Mr. M.P. Taparia 
Managing Director 
DIN: - 00112461"
